front,back
漢文の否定形「不(弗)二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔セ〕ず / 訳：～しない・～でない
漢文の否定形「非ズ（匪)二～ニ一」の読み方と訳し方を答えよ。,読み：～にあらず / 訳：～でない・～ではない
漢文の否定形「無シ(莫・亡・勿・毋)二～〔コト・スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔こと・すること〕なし / 訳：～がない・～はない
漢文の否定形「未ダ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：いまだ～〔せ〕ず / 訳：まだ～でない
漢文の禁止形「勿レ(毋・無・莫)二〔～スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔する こと〕なかれ / 訳：～してはいけない
漢文の不可能を表す否定形「不能ハ二〔～スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔する こと〕あたはず / 訳：～できない
漢文の不可能を表す否定形「不得二〔～スル〕一ヲ」の読み方と訳し方を答えよ。,読み：～〔する〕をえず / 訳：～できない
漢文の不可能・禁止を表す否定形「不可ラ二〔～ス〕一」の読み方と訳し方を答えよ。,読み：～〔す〕べからず / 訳：～してはいけない・～できない
漢文の部分否定「不二ニ常ハ〔～セ〕一」の読み方と訳し方を答えよ。,読み：つねには～〔せ〕ず / 訳：いつも～するとは限らない
漢文の部分否定「不(未ダ)二ズ必シモ〔～セ〕一」の読み方と訳し方を答えよ。,読み：(いまだ)かならずしも～〔せ〕ず / 訳：(まだ)必ずしも～とは限らない
漢文の全否定「不二ニ俱ハ〔～セ〕一」の読み方と訳し方を答えよ。,読み：ともには～〔せ〕ず / 訳：二つともは～することはできない
漢文の全否定「不二復タ〔～セ〕一」の読み方と訳し方を答えよ。,読み：また～〔せ〕ず / 訳：決して～しない・二度とは～しない
漢文の全否定「必ズ不二〔～セ〕一」の読み方と訳し方を答えよ。,読み：かならず～〔せ〕ず / 訳：必ず(絶対に)～しない
漢文の全否定「常ニ不二〔～セ〕一」の読み方と訳し方を答えよ。,読み：つねに～〔せ〕ず / 訳：いつも～しない
漢文の二重否定「無シ(莫)レ不ル〔ハ〕二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざる〔は〕なし / 訳：～しないものはない
漢文の二重否定「非ズレ不ルニ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるにあらず / 訳：～しないわけではない
漢文の二重否定「無シ(莫)レ非ザル〔ハ〕(匪)二～ニ一」の読み方と訳し方を答えよ。,読み：～にあらざる〔は〕なし / 訳：～でないものはない
漢文の二重否定「非ズレ無キニ二～一」の読み方と訳し方を答えよ。,読み：～なきにあらず / 訳：～がないわけではない
漢文の二重否定「無三シトＡシテル不二ハ〔Ｂセ〕一」の読み方と訳し方を答えよ。,読み：ＡとしてＢ〔せ〕ざるはなし / 訳：どんなＡでもＢしないものはない
漢文の二重否定「無三シトＡシテキ無二ハＢ一」の読み方と訳し方を答えよ。,読み：ＡとしてＢなきはなし / 訳：どんなＡでもＢのないものはない
漢文の二重否定「不可レラ不ル二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるべからず / 訳：～しなければならない
漢文の二重否定「不能ハレ不ル二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるあたはず / 訳：～せずにはいられない
漢文の二重否定「不得レル不ヲ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるをえず / 訳：～しないわけにはいかない
漢文の二重否定「不三ズ必シモン不バア二ラ〔～セ〕一」の読み方と訳し方を答えよ。,読み：かならずしも～〔せ〕ずんばあらず / 訳：必ずしも～しないとは限らない
漢文の二重否定「未三ダ嘗テン不バア二ラ〔～セ〕一」の読み方と訳し方を答えよ。,読み：いまだかつて～〔せ〕ずんばあらず / 訳：これまでに～しなかったことはない
漢文の二重否定「不レ為サレ不ト二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ずとなさず / 訳：～しないとはいえない
漢文の否定形「不二ヘ敢テ〔～セ〕一」の読み方と訳し方を答えよ。,読み：あへて～〔せ〕ず / 訳：無理に(決して・しいて)～しようとしない
漢文の否定形「無カレ二ヘ敢テ〔～スル〕一コト」の読み方と訳し方を答えよ。,読み：あへて～〔する〕ことなかれ / 訳：決して(無理に・しいて)～してはいけない
漢文の否定形「不可レラ二ゲ勝テ〔～ス〕一」の読み方と訳し方を答えよ。,読み：あげて～〔す〕べからず / 訳：～しきれないほど多い
漢文の否定形「無クレＡト無クレＢト」の読み方と訳し方を答えよ。,読み：ＡとなくＢとなく / 訳：ＡＢの区別なく
漢文の疑問形「何ヲ〔カ〕(奚)〔～スル〕」の読み方と訳し方を答えよ。,読み：なにを〔か〕～〔する〕 / 訳：なにを～か
漢文の疑問形「何ゾ(胡・奚・曷)〔～スル〕」の読み方と訳し方を答えよ。,読み：なんぞ～〔する〕 / 訳：どうして～か
漢文の疑問形「安ンゾ(悪・焉・寧)〔～スル〕」の読み方と訳し方を答えよ。,読み：いづくんぞ～〔する〕 / 訳：どうして～か
漢文の疑問形「安ニ〔カ〕(何・悪・焉)〔～スル〕」の読み方と訳し方を答えよ。,読み：いづくにか～〔する〕 / 訳：どこに～か
漢文の疑問形「誰カ(孰)〔～スル〕」の読み方と訳し方を答えよ。,読み：たれか～〔する〕 / 訳：だれが～か・～するのはだれか
